feature,golden_mean,golden_std,actual_mean,actual_std,recommended_min,recommended_max,total_abs_z,pct_contribution
Pressure_Bar_mean,0.9852,0.0008,0.9781,0.0065,0.984,0.9865,513.61,9.36
Humidity_Percent_min,20.4049,0.5892,18.3826,3.0038,19.521,21.2888,256.86,4.68
Lubricant_Conc,0.55,0.1378,1.1536,0.4801,0.3432,0.7568,250.29,4.56
Friability_inv,0.9181,0.0768,0.6292,0.2516,0.8029,1.0333,216.58,3.95
Friability,0.4133,0.0876,0.7427,0.2869,0.282,0.5447,216.58,3.95
Drying_Time,18.8333,2.4833,28.1786,7.2991,15.1084,22.5582,215.84,3.93
Machine_Speed,113.3333,15.6929,165.1429,40.3771,89.794,136.8727,191.25,3.49
Compression_Force,16.0833,1.3393,11.8357,3.1819,14.0744,18.0923,183.26,3.34
Binder_Amount,6.8167,0.6911,8.8554,1.5968,5.78,7.8534,170.97,3.12
Hardness,120.3333,9.5847,92.1071,20.8219,105.9563,134.7104,170.83,3.11
Granulation_Time,11.1667,1.7224,16.1964,3.9378,8.5831,13.7503,169.53,3.09
Dissolution_Rate,84.95,1.9522,90.6375,4.1291,82.0217,87.8783,167.76,3.06
Compression_Force_kN_std,7.3444,0.7767,5.3079,1.5196,6.1794,8.5094,152.58,2.78
Content_Uniformity,103.6,1.8995,98.6036,3.5081,100.7508,106.4492,152.46,2.78
Compression_Force_kN_max,18.0453,1.7133,13.713,3.1871,15.4754,20.6152,146.77,2.68
Drying_Temp,68.3333,3.3862,59.9821,6.2566,63.254,73.4127,144.21,2.63
Moisture_Content,3.0,0.4,2.0714,0.6725,2.4,3.6,135.5,2.47
Tablet_Weight,203.0167,1.087,201.8518,2.6983,201.3861,204.6472,128.11,2.34
Disintegration_Time,13.45,2.3569,8.3339,3.3585,9.9146,16.9854,127.67,2.33
Flow_Rate_LPM_mean,1.3269,0.1522,1.6401,0.2879,1.0986,1.5552,123.32,2.25
Humidity_Percent_max,62.2623,0.8262,63.1381,2.2853,61.0231,63.5016,118.76,2.16
Humidity_Percent_std,9.3553,0.297,9.8308,0.514,8.9098,9.8007,98.76,1.8
Flow_Rate_LPM_std,2.4784,0.1724,2.7471,0.2215,2.2198,2.7371,96.06,1.75
Compression_Force_kN_mean,4.7827,0.9399,3.3206,1.1998,3.3729,6.1926,95.4,1.74
Pressure_Bar_std,0.1274,0.0054,0.1343,0.0077,0.1192,0.1355,85.97,1.57
total_energy_kwh,5205.1482,442.0515,5571.2783,702.6849,4542.071,5868.2253,83.85,1.53
