,std
Pressure_Bar_mean,0.005910027329045484
Humidity_Percent_min,0.8537572951413921
Lubricant_Conc,0.11303883305208781
Friability,0.07035623639735146
Drying_Time,2.0275875100994063
Machine_Speed,13.204586745184837
Compression_Force,1.0688779163215976
Binder_Amount,0.5585198693372014
Hardness,7.758507874871588
Granulation_Time,1.4142135623730951
Dissolution_Rate,1.575947686667013
Compression_Force_kN_std,0.6291601592745646
Content_Uniformity,1.5039762113957917
Compression_Force_kN_max,1.3571070929666265
Drying_Temp,2.7436796055257213
Moisture_Content,0.3257470047615344
Tablet_Weight,0.8941165720667749
Disintegration_Time,1.9389286847237173
Flow_Rate_LPM_mean,0.126840738272228
Humidity_Percent_max,1.3083390647316588
Humidity_Percent_std,0.2557936747786037
Flow_Rate_LPM_std,0.16333337004781243
Compression_Force_kN_mean,0.822600188605916
Pressure_Bar_std,0.0065379882890762115
total_energy_kwh,480.6927249365566
